,count,unique,top,freq,mean,std,min,25%,50%,75%,max
permno,390627.0,,,,57174.040145714454,32941.361033692985,10001.0,17830.0,76477.0,88207.0,93436.0
ym,390627,204,2007-08,3359,,,,,,,
liis_net,390627.0,,,,4157067185.168866,1862278484872.1833,-355984319483718.56,-142795.2802373153,-1142.47461638546,206.5293049648404,849112053627226.5
liis_buy,390627.0,,,,5309949071.390103,1770931234396.3975,0.0,0.0,0.0,16707.80245335117,849112053627226.5
liis_sell,390627.0,,,,-1152881886.22124,576092094497.5449,-355984642517623.1,-189629.65922745346,-4310.17544799991,0.0,0.0
liis_ceo_cfo,390627.0,,,,11683179.122473871,4804433232.6463,-408254764737.0497,-1529.569024488218,0.0,0.0,2366993136733.99
liis_nonplan,390627.0,,,,4157223434.549691,1862278484478.034,-355984319483718.56,-77682.64786694483,0.0,627.0449544182047,849112053627226.5
liis_open_market,390627.0,,,,5134187488.587935,1770083818320.3398,-173701840649.52158,-108225.29781280637,0.0,0.0,849112053626816.9
liis_derivative_linked,390627.0,,,,63983616.84176252,59667778941.03648,-18331349068360.125,-56.59778350127861,0.0,0.0,32048727010987.188
liis_amendment_strict,390627.0,,,,4194640940.4384613,1862024653396.0571,-355984319483718.56,-138891.9994822148,-948.4617286384106,133.81972936761383,849112053627226.5
trade_count,390627.0,,,,29.75884155473124,315.14758237509915,1.0,2.0,6.0,14.0,108778.0
buy_owner_count,390627.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sell_owner_count,390627.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean_p_info,390627.0,,,,0.14112651348114014,0.19471831619739532,8.622405584901571e-05,0.036833381280303,0.06509388238191605,0.12907292693853378,0.9849143028259277
liis_cluster,390627.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
liis_disagreement,390627.0,,,,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0
ret,384515.0,,,,0.010794486953694905,0.17907556184198975,-0.968292,-0.057884,0.005814,0.06774,19.486032
ret_fwd_1m,381875.0,,,,0.00873753115810148,0.16541125456684097,-0.9936,-0.058458,0.004516,0.0648965,17.916666
mktcap,386200.0,,,,9152362388.318947,54820322860.49303,111622.0,261589702.5,1050345565.0,4025732787.795,3785304395660.0
mktcap_lag,387190.0,,,,9044836715.413965,53767744760.106026,262000.0,260628750.0,1043686125.0,3997863105.0,3587438272590.0
liis_net_scaled,388887.0,,,,7.656332516033462,6537.927482024705,-2655120.061342826,-5.976619889527776e-05,-9.31821849161597e-07,2.3377346487671494e-07,2481674.290814573
liis_buy_scaled,388887.0,,,,16.986727903500874,4882.512762709663,0.0,0.0,0.0,1.5685359202729264e-05,2481674.290814573
liis_sell_scaled,388887.0,,,,-9.330395387467417,4353.487664545464,-2655122.470701198,-8.32492141790135e-05,-3.839976014162176e-06,0.0,0.0
liis_ceo_cfo_scaled,388887.0,,,,0.6858744669020318,529.9178389210674,-62284.13664622333,-1.291887589286209e-06,0.0,0.0,324499.90084477013
liis_nonplan_scaled,388887.0,,,,7.656363542766421,6537.927481949479,-2655120.061342826,-3.598417447924344e-05,0.0,8.071007646889033e-07,2481674.290814573
liis_open_market_scaled,388887.0,,,,13.109857638055777,4737.73736853745,-27900.190119152237,-4.238329897568632e-05,0.0,0.0,2481674.290814573
liis_derivative_linked_scaled,388887.0,,,,1.8006547623112237,1029.0143346970528,-62556.612337693594,-4.5083603166487884e-08,0.0,0.0,605434.0387062685
liis_amendment_strict_scaled,388887.0,,,,7.128863884226039,6515.621941404063,-2655120.061342826,-5.761127365801052e-05,-7.738105848955982e-07,1.336575276012827e-07,2481674.290814573
liis_decile,390209.0,,,,5.49951180008662,2.8733857617999856,1.0,3.0,5.0,8.0,10.0
